periodo,estu_consecutivo,cole_area_ubicacion,cole_bilingue,cole_calendario,cole_genero,cole_jornada,cole_naturaleza,cole_depto_ubicacion,cole_mcpio_ubicacion,estu_genero,fami_estratovivienda,fami_personashogar,fami_tienecomputador,fami_tieneinternet,desemp_ingles,punt_ingles,punt_matematicas,punt_sociales_ciudadanas,punt_c_naturales,punt_lectura_critica,punt_global
20194,SB11201940541523,URBANO,,A,MIXTO,SABATINA,NO OFICIAL,BOGOTÁ,BOGOTÁ D.C.,M,Estrato 3,1 a 2,Si,Si,A1,56.0,45.0,27.0,27.0,35.0,176.0
20162,SB11201620032856,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,MAGDALENA,PLATO,M,Estrato 1,Cuatro,No,No,A-,32.0,56.0,56.0,51.0,56.0,265.0
20122,SB11201220580499,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,VALLE,JAMUNDÍ,F,Estrato 1,Cuatro,No,No,A-,38.0,46.0,,,,
20162,SB11201620355612,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,ANTIOQUIA,MEDELLIN,M,Estrato 3,Cuatro,Si,Si,B1,75.0,71.0,73.0,68.0,68.0,352.0
20152,SB11201520503811,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOLIVAR,CICUCO,F,Estrato 1,Cinco,No,No,A-,44.0,47.0,44.0,51.0,44.0,232.0
20152,SB11201520350840,URBANO,N,A,MIXTO,SABATINA,OFICIAL,HUILA,ALGECIRAS,F,Estrato 1,Cuatro,No,No,A1,52.0,44.0,49.0,43.0,46.0,230.0
20122,SB11201220198760,URBANO,N,A,MIXTO,NOCHE,OFICIAL,NORTE SANTANDER,VILLA DEL ROSARIO,M,Estrato 1,Tres,No,No,A-,39.0,43.0,,,,
20102,SB11201020034399,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,SUCRE,OVEJAS,M,Estrato 1,Ocho,No,No,A-,40.14,39.12,,,,
20122,SB11201220572895,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,MEDELLÍN,M,Estrato 3,Cuatro,Si,No,A1,43.0,45.0,,,,
20112,SB11201120244513,URBANO,N,A,MIXTO,TARDE,OFICIAL,VALLE,YUMBO,F,Estrato 2,Tres,No,No,A-,30.0,59.0,,,,
20131,SB11201310023873,URBANO,N,B,MIXTO,MAÑANA,NO OFICIAL,VALLE,CALI,F,Estrato 3,Cinco,Si,Si,B1,68.0,57.0,,,,
20132,SB11201320061719,URBANO,N,A,MIXTO,TARDE,OFICIAL,BOGOTA,"BOGOTÁ, D.C.",M,Estrato 3,Dos,Si,Si,A-,40.0,57.0,,,,
20194,SB11201940017700,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,NARIÑO,PASTO,F,Estrato 1,5 a 6,Si,Si,A-,42.0,58.0,51.0,52.0,59.0,270.0
20194,SB11201940017700,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,NARIÑO,PASTO,F,Estrato 1,5 a 6,Si,Si,A-,42.0,58.0,51.0,52.0,59.0,270.0
20122,SB11201220568962,URBANO,N,A,MIXTO,MAÑANA,NO OFICIAL,ATLANTICO,MALAMBO,F,Estrato 1,Cinco,Si,No,A-,36.0,38.0,,,,
20132,SB11201320208605,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,MAGDALENA,CERRO DE SAN ANTONIO,F,Estrato 1,Diez,No,No,A-,37.0,23.0,,,,
20162,SB11201620159751,URBANO,N,A,FEMENINO,MAÑANA,OFICIAL,NARIÑO,IPIALES,F,Estrato 1,Siete,No,Si,A2,60.0,64.0,60.0,59.0,67.0,312.0
20152,SB11201520368526,URBANO,N,A,MIXTO,SABATINA,NO OFICIAL,TOLIMA,CARMEN DE APICALA,F,Estrato 1,Tres,No,No,A-,38.0,44.0,53.0,44.0,44.0,228.0
20102,SB11201020185476,URBANO,N,A,MIXTO,TARDE,OFICIAL,NORTE SANTANDER,CÚCUTA,F,Estrato 1,Seis,No,No,A-,44.51,53.37,,,,
20162,SB11201620012115,URBANO,,A,MIXTO,COMPLETA,NO OFICIAL,CUNDINAMARCA,CHIA,M,Estrato 3,Cinco,Si,Si,A2,61.0,55.0,50.0,59.0,53.0,274.0
20142,SB11201420240659,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,COPACABANA,F,Estrato 2,Cuatro,Si,Si,A2,63.0,59.0,53.0,62.0,69.0,305.0
20122,SB11201220106839,URBANO,N,A,MIXTO,TARDE,OFICIAL,ANTIOQUIA,MEDELLÍN,F,Estrato 3,Cinco,Si,Si,A-,36.0,49.0,,,,
20152,SB11201520517964,URBANO,N,A,MIXTO,SABATINA,OFICIAL,CUNDINAMARCA,PUERTO SALGAR,F,Estrato 1,Cuatro,No,Si,A1,53.0,47.0,53.0,45.0,50.0,245.0
20142,SB11201420344778,URBANO,,A,MIXTO,MAÑANA,OFICIAL,NORTE SANTANDER,CUCUTA,M,Estrato 1,Cinco,Si,Si,A1,53.0,64.0,45.0,56.0,35.0,251.0
20112,SB11201120000025,URBANO,,A,MIXTO,SABATINA,NO OFICIAL,HUILA,BARAYA,F,,Cuatro,No,No,A-,41.0,49.0,,,,
20152,SB11201520202169,URBANO,N,OTRO,MIXTO,TARDE,NO OFICIAL,ANTIOQUIA,MEDELLIN,M,Estrato 2,Cinco,Si,Si,A1,53.0,52.0,50.0,41.0,57.0,251.0
20172,SB11201720444521,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CASANARE,PORE,F,Estrato 1,5 a 6,Si,No,A-,46.0,51.0,50.0,49.0,48.0,246.0
20122,SB11201220266323,URBANO,,A,MIXTO,TARDE,OFICIAL,ATLANTICO,BARRANQUILLA,F,Estrato 1,Cinco,Si,Si,A-,43.0,38.0,,,,
20112,SB11201120274685,URBANO,N,A,MIXTO,NOCHE,NO OFICIAL,ATLANTICO,BARRANQUILLA,M,Estrato 2,Cinco,No,No,A1,43.0,35.0,,,,
20194,SB11201940014773,RURAL,,A,MIXTO,COMPLETA,OFICIAL,CAUCA,TORIBÍO,M,Estrato 1,5 a 6,Si,No,A-,36.0,34.0,32.0,24.0,36.0,159.0
20194,SB11201940014773,RURAL,,A,MIXTO,COMPLETA,OFICIAL,CAUCA,TORIBÍO,M,Estrato 1,5 a 6,Si,No,A-,36.0,34.0,32.0,24.0,36.0,159.0
20162,SB11201620029223,URBANO,N,A,MIXTO,SABATINA,OFICIAL,ANTIOQUIA,YALI,F,Estrato 1,Cuatro,Si,No,A-,45.0,47.0,53.0,48.0,65.0,264.0
20112,SB11201120097619,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,META,VILLAVICENCIO,F,Estrato 1,Tres,No,No,A1,43.0,55.0,,,,
20172,SB11201720542411,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 3,7 a 8,Si,Si,B1,71.0,72.0,69.0,67.0,68.0,346.0
20152,SB11201520139350,URBANO,N,A,MIXTO,TARDE,OFICIAL,ANTIOQUIA,BELLO,F,Estrato 3,Cinco,Si,Si,A-,46.0,44.0,46.0,48.0,43.0,227.0
20172,SB11201720104447,URBANO,N,A,MIXTO,TARDE,OFICIAL,SANTANDER,GIRON,F,Estrato 1,5 a 6,No,No,A-,47.0,59.0,64.0,59.0,68.0,307.0
20122,SB11201220315827,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOGOTA,BOGOTÁ D.C.,M,Estrato 3,Cuatro,Si,Si,B1,65.0,67.0,,,,
20162,SB11201620226621,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,NORTE SANTANDER,LOS PATIOS,M,Estrato 2,Cinco,No,No,A-,32.0,43.0,41.0,38.0,42.0,201.0
20122,SB11201220131955,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,BARBOSA,F,Estrato 2,Cinco,Si,Si,A-,40.0,38.0,,,,
20102,SB11201020512465,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,ARBOLETES,M,Estrato 1,Seis,No,No,A-,45.84,53.16,,,,
20121,SB11201210053765,URBANO,N,A,MIXTO,NOCHE,NO OFICIAL,ATLANTICO,BARRANQUILLA,M,Estrato 1,Siete,Si,Si,A-,43.0,30.0,,,,
20172,SB11201720437359,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CALDAS,RIOSUCIO,M,Estrato 4,5 a 6,Si,No,A-,35.0,49.0,54.0,48.0,48.0,243.0
20162,SB11201620080358,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,ITAGUI,M,Estrato 2,Cuatro,No,Si,A2,60.0,63.0,59.0,63.0,63.0,307.0
20142,SB11201420008354,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,MEDELLIN,M,Estrato 3,Tres,Si,Si,A1,52.0,52.0,49.0,53.0,58.0,265.0
20122,SB11201220220548,URBANO,N,A,MIXTO,TARDE,OFICIAL,VALLE,CALI,F,Estrato 3,Cuatro,Si,No,A1,45.0,55.0,,,,
20102,SB11201020237111,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,VALLE,PALMIRA,M,Estrato 2,Cinco,No,No,A1,52.08,65.63,,,,
20122,SB11201220258145,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,PUTUMAYO,PUERTO LEGUÍZAMO,M,Estrato 1,Seis,No,No,A-,43.0,52.0,,,,
20194,SB11201940614915,URBANO,,A,MIXTO,MAÑANA,OFICIAL,MAGDALENA,SANTA MARTA,M,Estrato 1,5 a 6,No,No,A1,49.0,52.0,50.0,50.0,52.0,254.0
20194,SB11201940614915,URBANO,,A,MIXTO,MAÑANA,OFICIAL,MAGDALENA,SANTA MARTA,M,Estrato 1,5 a 6,No,No,A1,49.0,52.0,50.0,50.0,52.0,254.0
20122,SB11201220034283,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,SUCRE,EL ROBLE,M,Estrato 1,Cinco,No,No,A1,45.0,35.0,,,,
20112,SB11201120327925,URBANO,N,A,MIXTO,TARDE,OFICIAL,BOGOTA,BOGOTÁ D.C.,M,Estrato 3,Cuatro,Si,Si,A1,47.0,49.0,,,,
20122,SB11201220090574,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOLIVAR,MARGARITA,F,Estrato 1,Seis,No,No,A-,42.0,65.0,,,,
20142,SB11201420256598,URBANO,N,A,MIXTO,TARDE,OFICIAL,BOGOTA,BOGOTÁ D.C.,M,Estrato 2,Tres,Si,Si,A1,54.0,52.0,54.0,58.0,44.0,261.0
20172,SB11201720316876,RURAL,N,A,MIXTO,COMPLETA,OFICIAL,BOYACA,CHISCAS,F,Estrato 1,3 a 4,No,No,A-,45.0,51.0,45.0,48.0,49.0,240.0
20172,SB11201720242390,URBANO,N,A,MIXTO,UNICA,OFICIAL,ANTIOQUIA,ENVIGADO,F,Estrato 4,3 a 4,Si,Si,A2,62.0,60.0,60.0,65.0,67.0,315.0
20152,SB11201520304034,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,VALLE,CALI,F,Estrato 3,Cuatro,Si,Si,A1,57.0,60.0,65.0,58.0,71.0,315.0
20194,SB11201940170160,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOGOTÁ,BOGOTÁ D.C.,F,Estrato 3,3 a 4,Si,Si,A-,42.0,42.0,34.0,43.0,56.0,218.0
20194,SB11201940170160,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOGOTÁ,BOGOTÁ D.C.,F,Estrato 3,3 a 4,Si,Si,A-,42.0,42.0,34.0,43.0,56.0,218.0
20172,SB11201720040660,URBANO,N,A,FEMENINO,MAÑANA,OFICIAL,NARIÑO,PASTO,F,Estrato 1,3 a 4,Si,No,A1,55.0,56.0,54.0,54.0,60.0,280.0
20142,SB11201420026870,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CHOCO,CONDOTO,F,Estrato 1,Tres,Si,No,A1,51.0,46.0,71.0,66.0,58.0,298.0
20122,SB11201220024292,URBANO,N,A,MIXTO,MAÑANA,NO OFICIAL,SANTANDER,SABANA DE TORRES,F,Estrato 2,Cuatro,No,No,A1,46.0,45.0,,,,
20122,SB11201220178556,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,NARIÑO,IPIALES,F,Estrato 2,Dos,No,No,A2,61.0,49.0,,,,
20102,SB11201020464578,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,TABIO,F,Estrato 2,Cinco,No,No,A1,49.66,45.38,,,,
20122,SB11201220356451,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 2,Nueve,Si,Si,A1,45.0,43.0,,,,
20122,SB11201220350729,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 2,Cuatro,Si,Si,A-,43.0,50.0,,,,
20142,SB11201420498565,RURAL,N,A,MIXTO,SABATINA,OFICIAL,CORDOBA,CIENAGA DE ORO,M,Estrato 1,Nueve,No,No,A-,43.0,48.0,42.0,51.0,44.0,230.0
20122,SB11201220007144,URBANO,N,A,MIXTO,MAÑANA,NO OFICIAL,SANTANDER,BUCARAMANGA,F,Estrato 4,Seis,,Si,A1,51.0,61.0,,,,
20112,SB11201120149128,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,ITAGÜÍ,F,Estrato 3,Cinco,Si,Si,A2,58.0,45.0,,,,
20102,SB11201020550626,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,PANDI,F,Estrato 2,Cinco,No,No,A-,44.51,55.62,,,,
20102,SB11201020550626,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,PANDI,F,Estrato 2,Cinco,No,No,A-,44.51,55.62,,,,
20102,SB11201020550626,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,PANDI,F,Estrato 2,Cinco,No,No,A-,44.51,55.62,,,,
20162,SB11201620531790,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 2,Tres,Si,Si,B1,75.0,71.0,70.0,71.0,69.0,353.0
20112,SB11201120130989,URBANO,,A,MIXTO,TARDE,OFICIAL,ANTIOQUIA,APARTADÓ,M,Estrato 2,Tres,No,No,A1,47.0,59.0,,,,
20162,SB11201620438114,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,SUCRE,COROZAL,M,Estrato 1,Cinco,No,No,A1,56.0,57.0,54.0,54.0,55.0,275.0
20132,SB11201320196521,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOGOTA,"BOGOTÁ, D.C.",F,Estrato 3,Cuatro,Si,Si,B1,80.0,57.0,,,,
20152,SB11201520476830,URBANO,N,A,MIXTO,COMPLETA,OFICIAL,MAGDALENA,SANTA MARTA,F,Estrato 1,Cinco,No,No,A-,41.0,35.0,44.0,46.0,47.0,214.0
20194,SB11201940089717,URBANO,,A,MIXTO,MAÑANA,NO OFICIAL,VALLE,CARTAGO,M,Estrato 3,7 a 8,Si,Si,A-,31.0,49.0,31.0,32.0,41.0,188.0
20194,SB11201940089717,URBANO,,A,MIXTO,MAÑANA,NO OFICIAL,VALLE,CARTAGO,M,Estrato 3,7 a 8,Si,Si,A-,31.0,49.0,31.0,32.0,41.0,188.0
20122,SB11201220454331,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CORDOBA,LA APARTADA,F,Estrato 1,Seis,No,No,A1,43.0,35.0,,,,
20152,SB11201520293057,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,SABANETA,M,Estrato 2,Cuatro,Si,Si,B+,91.0,65.0,63.0,55.0,63.0,319.0
20142,SB11201420024917,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,CESAR,VALLEDUPAR,M,Estrato 4,Cuatro,Si,Si,B1,81.0,72.0,75.0,69.0,58.0,347.0
20102,SB11201020457460,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CORDOBA,LORICA,M,Estrato 1,Cuatro,Si,Si,A-,48.42,55.89,,,,
20152,SB11201520072195,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOLIVAR,CARTAGENA,F,Estrato 3,Tres,Si,Si,A2,59.0,65.0,57.0,48.0,53.0,280.0
20172,SB11201720187961,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,SANTANDER,PIEDECUESTA,F,Estrato 2,3 a 4,No,Si,A-,44.0,45.0,45.0,50.0,46.0,232.0
20122,SB11201220355233,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOGOTA,BOGOTÁ D.C.,M,Estrato 3,Tres,Si,Si,A1,45.0,55.0,,,,
20112,SB11201120547675,URBANO,S,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,MEDELLÍN,M,Estrato 2,Cinco,No,No,A-,43.0,31.0,,,,
20162,SB11201620505416,URBANO,S,A,MIXTO,MAÑANA,OFICIAL,NARIÑO,MAGUI (PAYAN),F,Estrato 1,Ocho,No,No,A1,50.0,45.0,40.0,38.0,40.0,206.0
20152,SB11201520348415,RURAL,N,A,MIXTO,COMPLETA,OFICIAL,ANTIOQUIA,ANDES,F,Estrato 2,Cuatro,Si,Si,A1,54.0,42.0,49.0,41.0,47.0,227.0
20132,SB11201320212058,URBANO,N,A,MIXTO,COMPLETA,OFICIAL,BOYACA,GACHANTIVÁ,F,Estrato 2,Ocho,No,No,A-,35.0,41.0,,,,
20172,SB11201720352367,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,NARIÑO,GUAITARILLA,F,Sin Estrato,3 a 4,No,Si,A1,54.0,51.0,47.0,46.0,54.0,249.0
20162,SB11201620056957,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,VALLE,CANDELARIA,F,Estrato 1,Seis,No,No,A2,59.0,32.0,46.0,52.0,46.0,225.0
20142,SB11201420049509,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,SANTANDER,SAN GIL,F,Estrato 1,Siete,No,No,A-,45.0,53.0,53.0,39.0,50.0,242.0
20131,SB11201310069972,URBANO,N,A,MIXTO,MAÑANA,NO OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 6,Cinco,Si,Si,B1,77.0,70.0,,,,
20171,SB11201710031305,URBANO,,B,MIXTO,MAÑANA,NO OFICIAL,VALLE,CALI,M,Estrato 4,3 a 4,Si,Si,A-,26.0,42.0,35.0,45.0,41.0,198.0
20102,SB11201020312417,URBANO,N,A,MIXTO,COMPLETA,OFICIAL,BOGOTÁ,BOGOTÁ D.C.,M,Estrato 1,Seis,Si,No,A-,36.8,39.25,,,,
20122,SB11201220571732,URBANO,N,,MIXTO,SABATINA,NO OFICIAL,CORDOBA,MONTERÍA,F,Estrato 1,Cuatro,No,No,A-,38.0,39.0,,,,
20131,SB11201310062781,URBANO,N,A,MIXTO,NOCHE,NO OFICIAL,BOGOTA,BOGOTÁ D.C.,M,Estrato 2,Dos,No,Si,A-,39.0,38.0,,,,
20194,SB11201940366115,URBANO,N,A,MIXTO,TARDE,OFICIAL,BOLIVAR,CARTAGENA DE INDIAS,M,Estrato 2,3 a 4,No,No,A2,58.0,52.0,47.0,49.0,51.0,252.0
20194,SB11201940366115,URBANO,N,A,MIXTO,TARDE,OFICIAL,BOLIVAR,CARTAGENA DE INDIAS,M,Estrato 2,3 a 4,No,No,A2,58.0,52.0,47.0,49.0,51.0,252.0
20142,SB11201420259272,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CORDOBA,PUERTO LIBERTADOR,F,Estrato 1,Cinco,No,No,A-,34.0,45.0,45.0,37.0,45.0,212.0
20194,SB11201940041980,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,SANTANDER,GÁMBITA,M,,3 a 4,No,,A-,46.0,52.0,45.0,28.0,53.0,223.0
20194,SB11201940041980,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,SANTANDER,GÁMBITA,M,,3 a 4,No,,A-,46.0,52.0,45.0,28.0,53.0,223.0
20102,SB11201020243189,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,VALLE,TULUÁ,F,Estrato 1,Cinco,No,No,A-,48.42,55.62,,,,
20172,SB11201720001159,URBANO,N,A,MIXTO,TARDE,NO OFICIAL,SANTANDER,BUCARAMANGA,M,Estrato 4,3 a 4,Si,Si,A2,63.0,79.0,69.0,68.0,68.0,352.0
20142,SB11201420386691,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,RICAURTE,F,Estrato 1,Cinco,No,No,A-,44.0,41.0,53.0,40.0,51.0,230.0
20142,SB11201420353428,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,META,VILLAVICENCIO,M,Estrato 3,Cuatro,Si,Si,A1,53.0,62.0,71.0,65.0,72.0,332.0
20162,SB11201620359085,URBANO,N,A,MIXTO,NOCHE,NO OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 2,Cinco,Si,Si,A1,50.0,39.0,47.0,52.0,58.0,247.0
20132,SB11201320361434,URBANO,N,A,MIXTO,NOCHE,OFICIAL,TOLIMA,IBAGUÉ,M,Estrato 2,Cuatro,No,No,A1,45.0,37.0,,,,
20142,SB11201420301187,URBANO,N,A,MIXTO,COMPLETA,OFICIAL,SANTANDER,MALAGA,F,Estrato 1,Siete,No,No,A1,51.0,50.0,56.0,53.0,52.0,263.0
